training_time,TTC_H_ISS,TTC_M_ISS,TTC_G_ISS,TTC_C_ISS,TTC_H_G,TTC_H_M,TTC_H_C,TTC_G_M,TTC_G_C,TTC_C_M,Next_hop
20880.774,60,1122,5751.846,3780.066,0,0,0,0,0,0,0
21000.774,0,1002,5631.846,3660.066,0,0,0,0,0,0,0
21353.995,0,648,5278.625,3306.845,0,0,0,0,0,0,0
21473.995,5160,528,5158.625,3186.845,0,0,0,0,0,0,1
26573.704,60,1242,58.916,3947.046,0,0,0,0,0,0,0
26693.70411,0,1122,0,3827.045888,0,0,0,0,0,0,0
27221.9,0,593,5065.54,3298.85,0,0,0,0,0,0,1
27341.9,5224,473,4945.54,3178.85,0,0,0,0,0,0,1
32505.602,60,1122,0,3800.468,0,0,0,0,0,0,2
32625.602,0,1002,0,3680.468,0,0,0,0,0,0,0
32969.997,0,658,5187.063,3336.073,0,0,0,0,0,0,0
33089.997,17194,538,5067.063,3216.073,0,0,0,0,0,0,1
50224.569,60,40637,5558.891,43285.731,0,0,0,0,0,0,0
50344.569,0,40517.031,5438.891,43165.731,0,0,0,0,0,0,0
50746.884,0,40114.716,5036.576,42763.416,0,0,0,0,0,0,0
50866.884,5181,39994.716,4916.576,42643.416,0,0,0,0,0,0,0
55987.972,60,34873.628,0,37522.328,0,0,0,0,0,0,2
56107.972,0,34753.628,0,37402.328,0,0,0,0,0,0,0
56636.82,0,34224.78,4950.31,36873.48,0,0,0,0,0,0,0
56756.82,5218,34104.78,4830.31,36753.48,0,0,0,0,0,0,2
61914.736,60,28946.864,0,31595.564,0,0,0,0,0,0,2
62034.736,0,28826.864,0,31475.564,0,0,0,0,0,0,0
62252.898,0,28608.702,50779.722,31257.402,0,0,0,0,0,0,0
62372.898,44967.876,28488.702,50659.722,31137.402,0,0,0,0,0,0,1
