training_time,TTC_H_ISS,TTC_M_ISS,TTC_G_ISS,TTC_C_ISS,Cap_H_ISS,Cap_M_ISS,Cap_G_ISS,Cap_C_ISS,Next_hop
4401.605,16539.165,60,22231.015,2708.691,473.221,608.775,416.658,504.975,1
4521.605,16419.165,0,22111.015,2588.691,473.221,548.775,416.658,504.975,1
5010.38,15930.39,0,21622.24,2099.916,473.221,60,416.658,504.975,3
5130.38,15810.39,5113.83,21502.24,1979.916,473.221,640.193,416.658,504.975,3
7050.296,13890.474,3193.914,19582.324,60,473.221,640.193,416.658,504.975,3
7170.296,13770.474,3073.914,19462.324,0,473.221,640.193,416.658,444.975,3
7555.271,13385.499,2688.939,19077.349,0,473.221,640.193,416.658,60,1
7675.271,13265.499,2568.939,18957.349,5135.759,473.221,640.193,416.658,662.003,1
10184.207,10756.563,60.003,16448.413,2626.823,473.221,640.193,416.658,662.003,1
10304.207,10636.563,0,16328.413,2506.823,473.221,580.193,416.658,662.003,1
10824.4,10116.37,0,15808.22,1986.63,473.221,60,416.658,662.003,3
10944.4,9996.37,5184.6,15688.22,1866.63,473.221,566.261,416.658,662.003,3
12751.033,8189.737,3377.967,13881.587,59.997,473.221,566.261,416.658,662.003,3
12871.033,8069.737,3257.967,13761.587,0,473.221,566.261,416.658,602.002,3
13413.035,7527.735,2715.965,13219.585,0,473.221,566.261,416.658,60,1
13533.035,7407.735,2595.965,13099.585,5167.385,473.221,566.261,416.658,557.81,1
16069.655,4871.115,59.345,10562.965,2630.765,473.221,566.261,416.658,557.81,1
16189.655,4751.115,0,10442.965,2510.765,473.221,506.261,416.658,557.81,1
16635.916,4304.854,0,9996.704,2064.504,473.221,60,416.658,557.81,3
16755.916,4184.854,5246.794,9876.704,1944.504,473.221,564.015,416.658,557.81,3
18640.424,2300.346,3362.286,7992.196,59.996,473.221,564.015,416.658,557.81,3
18760.424,2180.346,3242.286,7872.196,0,473.221,564.015,416.658,497.81,3
19198.234,1742.536,2804.476,7434.386,0,473.221,564.015,416.658,60,1
19318.234,1622.536,2684.476,7314.386,5342.606,473.221,564.015,416.658,419.326,0
20880.774,59.996,1121.936,5751.846,3780.066,473.221,564.015,416.658,419.326,0
21000.774,0,1001.936,5631.846,3660.066,473.221,564.015,416.658,419.326,0
21353.995,0,648.715,5278.625,3306.845,60,564.015,416.658,419.326,1
21473.995,5159.705,528.715,5158.625,3186.845,648.196,564.015,416.658,419.326,1
21942.707,4690.993,60.003,4689.913,2718.133,648.196,564.015,416.658,419.326,1
22062.707,4570.993,0,4569.913,2598.133,648.196,504.015,416.658,419.326,1
22506.722,4126.978,0,4125.898,2154.118,648.196,60,416.658,419.326,3
22626.722,4006.978,5188.948,4005.898,2034.118,648.196,637.96,416.658,419.326,3
24600.84,2032.86,3214.83,2031.78,60,648.196,637.96,416.658,419.326,3
24720.84,1912.86,3094.83,1911.78,0,648.196,637.96,416.658,359.326,3
25020.166,1613.534,2795.504,1612.454,0,648.196,637.96,416.658,60,0
25140.166,1493.534,2675.504,1492.454,5380.584,648.196,637.96,416.658,501.816,2
26572.621,61.079,1243.049,59.999,3948.129,648.196,637.96,416.658,501.816,2
26573.704,59.996,1241.966,58.916,3947.046,648.196,637.96,416.658,501.816,2
26692.621,0,1123.049,0,3828.129,588.196,637.96,356.658,501.816,0
26693.704,0,1121.966,0,3827.046,587.196,637.96,355.575,501.816,0
26989.279,0,826.391,0,3531.471,292.621,637.96,60,501.816,1
27109.279,0,706.391,5178.161,3411.471,172.621,637.96,649.412,501.816,1
27221.9,0,593.77,5065.54,3298.85,60,637.96,649.412,501.816,1
27341.9,5223.7,473.77,4945.54,3178.85,464.395,637.96,649.412,501.816,1
27755.666,4809.934,60.004,4531.774,2765.084,464.395,637.96,649.412,501.816,1
27875.666,4689.934,0,4411.774,2645.084,464.395,577.96,649.412,501.816,1
28393.626,4171.974,0,3893.814,2127.124,464.395,60,649.412,501.816,3
28513.626,4051.974,5114.324,3773.814,2007.124,464.395,613.563,649.412,501.816,3
30460.752,2104.848,3167.198,1826.688,59.998,464.395,613.563,649.412,501.816,3
30580.752,1984.848,3047.198,1706.688,0,464.395,613.563,649.412,441.816,3
30962.568,1603.032,2665.382,1324.872,0,464.395,613.563,649.412,60,2
31082.568,1483.032,2545.382,1204.872,5223.412,464.395,613.563,649.412,645.918,2
32227.444,338.156,1400.506,59.996,4078.536,464.395,613.563,649.412,645.918,2
32347.444,218.156,1280.506,0,3958.536,464.395,613.563,589.412,645.918,2
32505.602,59.998,1122.348,0,3800.378,464.395,613.563,431.254,645.918,2
32625.602,0,1002.348,0,3680.378,404.395,613.563,311.254,645.918,0
32876.856,0,751.094,0,3429.124,153.141,613.563,60,645.918,1
32969.997,0,657.953,5186.963,3335.983,60,613.563,565.365,645.918,1
32996.856,0,631.094,5160.104,3309.124,33.141,613.563,565.365,645.918,1
33089.997,17194.463,537.953,5066.963,3215.983,522.245,613.563,565.365,645.918,1
33567.946,16716.514,60.004,4589.014,2738.034,522.245,613.563,565.365,645.918,1
33687.946,16596.514,0,4469.014,2618.034,522.245,553.563,565.365,645.918,1
34181.509,16102.951,0,3975.451,2124.471,522.245,60,565.365,645.918,3
34301.509,15982.951,53720.001,3855.451,2004.471,522.245,556.714,565.365,645.918,3
36245.981,14038.479,51775.529,1910.979,59.999,522.245,556.714,565.365,645.918,3
36365.981,13918.479,51655.529,1790.979,0,522.245,556.714,565.365,585.919,3
36891.9,13392.56,51129.61,1265.06,0,522.245,556.714,565.365,60,2
37011.9,13272.56,51009.61,1145.06,5111.28,522.245,556.714,565.365,606.186,2
38096.96,12187.5,49924.55,60,4026.22,522.245,556.714,565.365,606.186,2
38216.96,12067.5,49804.55,0,3906.22,522.245,556.714,505.365,606.186,2
38662.325,11622.135,49359.185,0,3460.855,522.245,556.714,60,606.186,3
38782.325,11502.135,49239.185,5338.615,3340.855,522.245,556.714,405.521,606.186,3
42063.182,8221.278,45958.328,2057.758,59.998,522.245,556.714,405.521,606.186,3
42183.182,8101.278,45838.328,1937.758,0,522.245,556.714,405.521,546.186,3
42669.368,7615.092,45352.142,1451.572,0,522.245,556.714,405.521,60,2
42789.368,7495.092,45232.142,1331.572,47933.932,522.245,556.714,405.521,354.896,2
44060.944,6223.516,43960.566,59.996,46662.356,522.245,556.714,405.521,354.896,2
44180.944,6103.516,43840.566,0,46542.356,522.245,556.714,345.521,354.896,0
